Alias,Merchant
NETFLIX,Netflix
NETFLIX COM,Netflix
NETFLIX COM BILL,Netflix
SPOTIFY,Spotify
APPLE,Apple
APPLE COM BILL,Apple
APPLE SERVICES,Apple
GOOGLE,Google
GOOGLE PLAY,Google
GOOGLE ONE,Google One
YOUTUBE,Youtube Premium
YOUTUBE PREMIUM,YouTube Premium
AMAZON PRIME,Amazon Prime
PRIME VIDEO,Prime Video
OPENAI,OpenAI ChatGPT
CHATGPT,OpenAI ChatGPT
OPENAI CHATGPT SUBSCR,OpenAI ChatGPT
CLAUDE,Claude AI
MICROSOFT,Microsoft 365
ADOBE,Adobe
CANVA,Canva
DROPBOX,Dropbox
LINKEDIN PREMIUM,LinkedIn Premium
DEEZER,Deezer
NORDVPN,NordVPN
EXPRESSVPN,ExpressVPN
PROTON VPN,Proton VPN
